ds;y
02/01/2020;50218
03/01/2020;53660
04/01/2020;23343
07/01/2020;54668
08/01/2020;47902
09/01/2020;50041
10/01/2020;53552
11/01/2020;30152
13/01/2020;63637
14/01/2020;59396
15/01/2020;61176
16/01/2020;59368
17/01/2020;65459
18/01/2020;31755
20/01/2020;61330
21/01/2020;58680
22/01/2020;60001
23/01/2020;57952
24/01/2020;63612
25/01/2020;32098
27/01/2020;69467
28/01/2020;61726
29/01/2020;61684
30/01/2020;62493
31/01/2020;57172
01/02/2020;32239
03/02/2020;65333
04/02/2020;60007
05/02/2020;58181
06/02/2020;57511
07/02/2020;59126
08/02/2020;28956
10/02/2020;63434
11/02/2020;57849
12/02/2020;57226
13/02/2020;54801
14/02/2020;57847
15/02/2020;27212
17/02/2020;63662
18/02/2020;60568
19/02/2020;57380
20/02/2020;54285
21/02/2020;60808
22/02/2020;27148
24/02/2020;59525
25/02/2020;57296
26/02/2020;55034
27/02/2020;53026
28/02/2020;55369
29/02/2020;28226
02/03/2020;64577
03/03/2020;68574
04/03/2020;60786
05/03/2020;57581
06/03/2020;56392
07/03/2020;25541
09/03/2020;59642
10/03/2020;57516
11/03/2020;57078
12/03/2020;59419
13/03/2020;62017
14/03/2020;28500
16/03/2020;61120
17/03/2020;54850
18/03/2020;52422
19/03/2020;53952
20/03/2020;23425
21/03/2020;5374
24/03/2020;26076
25/03/2020;30268
26/03/2020;25618
27/03/2020;21546
28/03/2020;12484
30/03/2020;25812
31/03/2020;26307
01/04/2020;28277
02/04/2020;26217
03/04/2020;31691
04/04/2020;18076
06/04/2020;39421
07/04/2020;36237
08/04/2020;38820
11/04/2020;28451
13/04/2020;50728
14/04/2020;47449
15/04/2020;50134
16/04/2020;47982
17/04/2020;51724
18/04/2020;27278
20/04/2020;55821
21/04/2020;52204
22/04/2020;51771
23/04/2020;50837
24/04/2020;53905
25/04/2020;32585
27/04/2020;67934
28/04/2020;61661
29/04/2020;62218
30/04/2020;61754
02/05/2020;49059
04/05/2020;79148
05/05/2020;70486
06/05/2020;73882
07/05/2020;66612
08/05/2020;71612
09/05/2020;42800
11/05/2020;65583
12/05/2020;71132
13/05/2020;74231
14/05/2020;61832
15/05/2020;62070
16/05/2020;34605
18/05/2020;76766
19/05/2020;79562
20/05/2020;73028
21/05/2020;69084
22/05/2020;66651
23/05/2020;41103
26/05/2020;109363
27/05/2020;89219
28/05/2020;71387
29/05/2020;69905
30/05/2020;41666
01/06/2020;78149
02/06/2020;74576
03/06/2020;67805
04/06/2020;69246
05/06/2020;69655
06/06/2020;37655
08/06/2020;82476
09/06/2020;79154
10/06/2020;75100
11/06/2020;70144
12/06/2020;73338
13/06/2020;46058
16/06/2020;87167
17/06/2020;98397
18/06/2020;80735
19/06/2020;79860
20/06/2020;87159
23/06/2020;105238
24/06/2020;107733
25/06/2020;94340
26/06/2020;77943
27/06/2020;49673
30/06/2020;100323
01/07/2020;93470
02/07/2020;77812
03/07/2020;98577
04/07/2020;101896
06/07/2020;104833
07/07/2020;116717
08/07/2020;95117
09/07/2020;93984
10/07/2020;89173
11/07/2020;54872
13/07/2020;86900
14/07/2020;85921
15/07/2020;78029
16/07/2020;73842
17/07/2020;68319
18/07/2020;48087
21/07/2020;107535
22/07/2020;113239
23/07/2020;92127
24/07/2020;82601
25/07/2020;46957
27/07/2020;87587
28/07/2020;84729
29/07/2020;74974
30/07/2020;76245
31/07/2020;67273
01/08/2020;41992
03/08/2020;87702
04/08/2020;77541
05/08/2020;77901
06/08/2020;73356
08/08/2020;51996
10/08/2020;95578
11/08/2020;84537
12/08/2020;76937
13/08/2020;71419
14/08/2020;69852
15/08/2020;39869
18/08/2020;102352
19/08/2020;87022
20/08/2020;85947
21/08/2020;85043
22/08/2020;48462
24/08/2020;96151
25/08/2020;86677
26/08/2020;77042
27/08/2020;73497
28/08/2020;75519
29/08/2020;40292
31/08/2020;84718
01/09/2020;78145
02/09/2020;72409
03/09/2020;70222
04/09/2020;70323
05/09/2020;37562
07/09/2020;81281
08/09/2020;73178
09/09/2020;73054
10/09/2020;68235
11/09/2020;66646
12/09/2020;39501
14/09/2020;80414
15/09/2020;70532
16/09/2020;73312
17/09/2020;71665
18/09/2020;68883
19/09/2020;35279
21/09/2020;83916
22/09/2020;77733
23/09/2020;72832
24/09/2020;69722
