Week;recogidas
2021-06-28;206985
2021-06-21;536131
2021-06-14;461034
2021-06-07;445085
2021-05-31;475260
2021-05-24;443448
2021-05-17;405762
2021-05-10;379347
2021-05-03;381928
2021-04-26;407614
2021-04-19;544326
2021-04-12;517935
2021-04-05;479237
2021-03-29;312834
2021-03-22;441895
2021-03-15;459597
2021-03-08;459644
2021-03-01;460234
2021-02-22;444335
2021-02-15;459562
2021-02-08;469189
2021-02-01;478675
2021-01-25;476168
2021-01-18;521975
2021-01-11;418687
2021-01-04;415119
2020-12-28;341912
2020-12-21;451366
2020-12-14;763986
2020-12-07;635520
2020-11-30;780297
2020-11-23;848052
2020-11-16;597695
2020-11-09;538828
2020-11-02;447427
2020-10-26;508449
2020-10-19;584832
2020-10-12;423864
2020-10-05;483021
2020-09-28;478639
2020-09-21;501764
2020-09-14;487809
2020-09-07;488842
2020-08-31;492068
2020-08-24;537553
2020-08-17;494024
2020-08-10;525509
2020-08-03;438495
2020-07-27;515344
2020-07-20;515743
2020-07-13;521321
2020-07-06;646861
2020-06-29;591833
2020-06-22;530200
2020-06-15;524956
2020-06-08;498790
2020-06-01;459423
2020-05-25;432478
2020-05-18;467826
2020-05-11;421516
2020-05-04;457460
2020-04-27;351232
2020-04-20;331339
2020-04-13;306196
2020-04-06;159325
2020-03-30;173499
2020-03-23;136468
2020-03-16;314791
2020-03-09;398168
2020-03-02;402185
2020-02-24;368453
2020-02-17;396739
2020-02-10;391280
2020-02-03;405686
2020-01-27;417660
2020-01-20;412091
2020-01-13;410201
2020-01-06;293341
2019-12-30;216868
2019-12-23;291719
2019-12-16;583097
2019-12-09;583828
2019-12-02;627961
2019-11-25;586219
2019-11-18;469653
2019-11-11;432835
2019-11-04;399734
2019-10-28;454868
2019-10-21;521235
2019-10-14;389468
2019-10-07;419653
2019-09-30;414335
2019-09-23;433198
2019-09-16;459290
2019-09-09;434885
2019-09-02;418705
2019-08-26;449390
2019-08-19;402475
2019-08-12;455570
2019-08-05;378384
2019-07-29;436751
2019-07-22;462054
2019-07-15;403042
2019-07-08;441935
2019-07-01;365697
2019-06-24;382551
2019-06-17;486525
2019-06-10;427009
2019-06-03;336602
2019-05-27;406364
2019-05-20;441145
2019-05-13;405748
2019-05-06;428192
2019-04-29;371052
2019-04-22;436570
2019-04-15;233521
2019-04-08;457886
2019-04-01;445796
2019-03-25;344303
2019-03-18;408960
2019-03-11;417817
2019-03-04;399785
2019-02-25;393088
2019-02-18;393502
2019-02-11;403805
2019-02-04;402152
2019-01-28;381848
2019-01-21;408579
2019-01-14;405521
2019-01-07;320034
2018-12-31;204418
2018-12-24;275138
2018-12-17;565741
2018-12-10;542751
2018-12-03;481351
2018-11-26;585580
2018-11-19;621614
2018-11-12;414870
2018-11-05;383053
2018-10-29;438271
2018-10-22;420682
2018-10-15;353744
2018-10-08;397070
2018-10-01;404439
2018-09-24;385532
2018-09-17;396397
2018-09-10;374323
2018-09-03;376620
2018-08-27;384335
2018-08-20;332895
2018-08-13;401711
2018-08-06;338610
2018-07-30;388775
2018-07-23;376224
2018-07-16;330169
2018-07-09;379801
2018-07-02;307009
2018-06-25;354574
2018-06-18;381843
2018-06-11;322636
2018-06-04;311212
2018-05-28;337064
2018-05-21;387303
2018-05-14;321842
2018-05-07;396430
2018-04-30;324473
2018-04-23;379195
2018-04-16;420799
2018-04-09;381325
2018-04-02;381369
2018-03-26;215292
2018-03-19;323598
2018-03-12;376269
2018-03-05;367190
2018-02-26;360192
2018-02-19;373467
2018-02-12;386429
2018-02-05;400031
2018-01-29;380145
2018-01-22;386909
2018-01-15;388981
2018-01-08;311478
2018-01-01;219497
2017-12-25;284508
2017-12-18;489653
2017-12-11;538392
2017-12-04;456100
2017-11-27;558197
2017-11-20;542531
2017-11-13;398546
2017-11-06;375940
2017-10-30;417061
2017-10-23;409742
2017-10-16;328294
2017-10-09;389946
2017-10-02;359114
2017-09-25;353624
2017-09-18;354509
2017-09-11;377101
2017-09-04;341360
2017-08-28;360233
2017-08-21;305885
2017-08-14;353560
2017-08-07;287240
2017-07-31;352365
2017-07-24;358386
2017-07-17;310075
2017-07-10;350352
2017-07-03;288223
2017-06-26;280259
2017-06-19;272080
2017-06-12;341156
2017-06-05;339166
2017-05-29;262966
2017-05-22;311384
2017-05-15;313401
2017-05-08;335946
2017-05-01;300628
2017-04-24;351362
2017-04-17;326916
2017-04-10;185068
2017-04-03;335739
2017-03-27;321723
2017-03-20;269691
2017-03-13;333960
2017-03-06;318934
2017-02-27;325956
2017-02-20;332473
2017-02-13;348557
2017-02-06;368035
2017-01-30;342038
2017-01-23;354688
2017-01-16;353844
2017-01-09;277456
2017-01-02;243601
