Week;Producto;Terminal_origen;recogidas
2021-06-28;Firma de Documentos;Barranquilla;6
2021-06-28;Mensajeria;Barranquilla;202
2021-06-28;Mercancia;Barranquilla;3762
2021-06-28;Mercancia Aerea;Barranquilla;2
2021-06-28;Paqueteo 3-5 Kl.;Barranquilla;749
2021-06-28;Paquetes 1-2 Kl. (ME);Barranquilla;2995
2021-06-28;Radicación de Documentos;Barranquilla;173
2021-06-28;Firma de Documentos;Bogota;11
2021-06-28;Mensajeria;Bogota;2408
2021-06-28;Mercancia;Bogota;41059
2021-06-28;Mercancia Aerea;Bogota;63
2021-06-28;Paqueteo 3-5 Kl.;Bogota;8098
2021-06-28;Paquetes 1-2 Kl. (ME);Bogota;29210
2021-06-28;Radicación de Documentos;Bogota;357
2021-06-28;Firma de Documentos;Bosconia;1
2021-06-28;Mensajeria;Bosconia;44
2021-06-28;Mercancia;Bosconia;283
2021-06-28;Paqueteo 3-5 Kl.;Bosconia;71
2021-06-28;Paquetes 1-2 Kl. (ME);Bosconia;287
2021-06-28;Radicación de Documentos;Bosconia;65
2021-06-28;Firma de Documentos;Bucaramanga;1
2021-06-28;Mensajeria;Bucaramanga;157
2021-06-28;Mercancia;Bucaramanga;1370
2021-06-28;Mercancia Aerea;Bucaramanga;2
2021-06-28;Paqueteo 3-5 Kl.;Bucaramanga;394
2021-06-28;Paquetes 1-2 Kl. (ME);Bucaramanga;1632
2021-06-28;Radicación de Documentos;Bucaramanga;210
2021-06-28;Mensajeria;Cienaga;39
2021-06-28;Mercancia;Cienaga;275
2021-06-28;Paqueteo 3-5 Kl.;Cienaga;91
2021-06-28;Paquetes 1-2 Kl. (ME);Cienaga;299
2021-06-28;Radicación de Documentos;Cienaga;50
2021-06-28;Mensajeria;Cucuta;29
2021-06-28;Mercancia;Cucuta;768
2021-06-28;Paqueteo 3-5 Kl.;Cucuta;2077
2021-06-28;Paquetes 1-2 Kl. (ME);Cucuta;1454
2021-06-28;Radicación de Documentos;Cucuta;68
2021-06-28;Mensajeria;Ibague;35
2021-06-28;Mercancia;Ibague;520
2021-06-28;Mercancia Aerea;Ibague;1
2021-06-28;Paqueteo 3-5 Kl.;Ibague;91
2021-06-28;Paquetes 1-2 Kl. (ME);Ibague;409
2021-06-28;Radicación de Documentos;Ibague;72
2021-06-28;Firma de Documentos;Manizales;1
2021-06-28;Mensajeria;Manizales;58
2021-06-28;Mercancia;Manizales;1502
2021-06-28;Paqueteo 3-5 Kl.;Manizales;83
2021-06-28;Paquetes 1-2 Kl. (ME);Manizales;346
2021-06-28;Radicación de Documentos;Manizales;24
2021-06-28;Firma de Documentos;Medellin;20
2021-06-28;Mensajeria;Medellin;1013
2021-06-28;Mercancia;Medellin;22907
2021-06-28;Mercancia Aerea;Medellin;7
2021-06-28;Paqueteo 3-5 Kl.;Medellin;4557
2021-06-28;Paquetes 1-2 Kl. (ME);Medellin;25717
2021-06-28;Radicación de Documentos;Medellin;290
2021-06-28;Mensajeria;Neiva;41
2021-06-28;Mercancia;Neiva;278
2021-06-28;Paqueteo 3-5 Kl.;Neiva;66
2021-06-28;Paquetes 1-2 Kl. (ME);Neiva;212
2021-06-28;Radicación de Documentos;Neiva;42
2021-06-28;Firma de Documentos;Pasto;1
2021-06-28;Mensajeria;Pasto;54
2021-06-28;Mercancia;Pasto;275
2021-06-28;Paqueteo 3-5 Kl.;Pasto;70
2021-06-28;Paquetes 1-2 Kl. (ME);Pasto;362
2021-06-28;Radicación de Documentos;Pasto;106
2021-06-28;Firma de Documentos;Pereira;2
2021-06-28;Mensajeria;Pereira;237
2021-06-28;Mercancia;Pereira;2781
2021-06-28;Paqueteo 3-5 Kl.;Pereira;306
2021-06-28;Paquetes 1-2 Kl. (ME);Pereira;1218
2021-06-28;Radicación de Documentos;Pereira;90
2021-06-28;Mercancia;Sin Terminal;19
2021-06-28;Paqueteo 3-5 Kl.;Sin Terminal;11
2021-06-28;Paquetes 1-2 Kl. (ME);Sin Terminal;18
2021-06-28;Mensajeria;Sincelejo;162
2021-06-28;Mercancia;Sincelejo;669
2021-06-28;Paqueteo 3-5 Kl.;Sincelejo;136
2021-06-28;Paquetes 1-2 Kl. (ME);Sincelejo;908
2021-06-28;Radicación de Documentos;Sincelejo;119
2021-06-28;Firma de Documentos;Turbaco;1
2021-06-28;Mensajeria;Turbaco;117
