Week;Producto;Terminal_origen;recogidas
2017-01-02;Firma de Documentos;Barranquilla;147
2017-01-02;Mensajeria;Barranquilla;1286
2017-01-02;Mercancia;Barranquilla;9443
2017-01-02;Mercancia Aerea;Barranquilla;7
2017-01-02;Paqueteo 3-5 Kl.;Barranquilla;790
2017-01-02;Paquetes 1-2 Kl. (ME);Barranquilla;1086
2017-01-02;Radicación de Documentos;Barranquilla;402
2017-01-02;Firma de Documentos;Bogota;528
2017-01-02;Mensajeria;Bogota;5250
2017-01-02;Mercancia;Bogota;79787
2017-01-02;Mercancia Aerea;Bogota;159
2017-01-02;Paqueteo 3-5 Kl.;Bogota;3185
2017-01-02;Paquetes 1-2 Kl. (ME);Bogota;5500
2017-01-02;Radicación de Documentos;Bogota;873
2017-01-02;Firma de Documentos;Bucaramanga;77
2017-01-02;Mensajeria;Bucaramanga;685
2017-01-02;Mercancia;Bucaramanga;1719
2017-01-02;Paqueteo 3-5 Kl.;Bucaramanga;222
2017-01-02;Paquetes 1-2 Kl. (ME);Bucaramanga;433
2017-01-02;Radicación de Documentos;Bucaramanga;223
2017-01-02;Firma de Documentos;Cucuta;20
2017-01-02;Mensajeria;Cucuta;183
2017-01-02;Mercancia;Cucuta;519
2017-01-02;Paqueteo 3-5 Kl.;Cucuta;69
2017-01-02;Paquetes 1-2 Kl. (ME);Cucuta;154
2017-01-02;Radicación de Documentos;Cucuta;68
2017-01-02;Firma de Documentos;Ibague;48
2017-01-02;Mensajeria;Ibague;420
2017-01-02;Mercancia;Ibague;1245
2017-01-02;Paqueteo 3-5 Kl.;Ibague;177
2017-01-02;Paquetes 1-2 Kl. (ME);Ibague;168
2017-01-02;Radicación de Documentos;Ibague;191
2017-01-02;Firma de Documentos;Manizales;13
2017-01-02;Mensajeria;Manizales;195
2017-01-02;Mercancia;Manizales;9962
2017-01-02;Paqueteo 3-5 Kl.;Manizales;160
2017-01-02;Paquetes 1-2 Kl. (ME);Manizales;100
2017-01-02;Radicación de Documentos;Manizales;56
2017-01-02;Firma de Documentos;Medellin;691
2017-01-02;Mensajeria;Medellin;4977
2017-01-02;Mercancia;Medellin;38056
2017-01-02;Mercancia Aerea;Medellin;22
2017-01-02;Paqueteo 3-5 Kl.;Medellin;2690
2017-01-02;Paquetes 1-2 Kl. (ME);Medellin;7205
2017-01-02;Radicación de Documentos;Medellin;543
2017-01-02;Firma de Documentos;Pasto;6
2017-01-02;Mensajeria;Pasto;115
2017-01-02;Mercancia;Pasto;297
2017-01-02;Paqueteo 3-5 Kl.;Pasto;61
2017-01-02;Paquetes 1-2 Kl. (ME);Pasto;41
2017-01-02;Radicación de Documentos;Pasto;28
2017-01-02;Firma de Documentos;Pereira;159
2017-01-02;Mensajeria;Pereira;986
2017-01-02;Mercancia;Pereira;7424
2017-01-02;Mercancia Aerea;Pereira;1
2017-01-02;Paqueteo 3-5 Kl.;Pereira;233
2017-01-02;Paquetes 1-2 Kl. (ME);Pereira;684
2017-01-02;Radicación de Documentos;Pereira;190
2017-01-02;Firma de Documentos;Sincelejo;55
2017-01-02;Mensajeria;Sincelejo;537
2017-01-02;Mercancia;Sincelejo;895
2017-01-02;Paqueteo 3-5 Kl.;Sincelejo;208
2017-01-02;Paquetes 1-2 Kl. (ME);Sincelejo;227
2017-01-02;Radicación de Documentos;Sincelejo;148
2017-01-02;Firma de Documentos;Turbaco;135
2017-01-02;Mensajeria;Turbaco;721
2017-01-02;Mercancia;Turbaco;2728
2017-01-02;Mercancia Aerea;Turbaco;8
2017-01-02;Paqueteo 3-5 Kl.;Turbaco;240
2017-01-02;Paquetes 1-2 Kl. (ME);Turbaco;381
2017-01-02;Radicación de Documentos;Turbaco;166
2017-01-02;Firma de Documentos;Yumbo;284
2017-01-02;Mensajeria;Yumbo;2643
2017-01-02;Mercancia;Yumbo;41397
2017-01-02;Mercancia Aerea;Yumbo;39
2017-01-02;Paqueteo 3-5 Kl.;Yumbo;694
2017-01-02;Paquetes 1-2 Kl. (ME);Yumbo;1755
2017-01-02;Radicación de Documentos;Yumbo;381
2017-01-09;Firma de Documentos;Barranquilla;228
2017-01-09;Mensajeria;Barranquilla;1294
2017-01-09;Mercancia;Barranquilla;7658
2017-01-09;Mercancia Aerea;Barranquilla;3
2017-01-09;Paqueteo 3-5 Kl.;Barranquilla;712
2017-01-09;Paquetes 1-2 Kl. (ME);Barranquilla;1088
2017-01-09;Radicación de Documentos;Barranquilla;462
2017-01-09;Firma de Documentos;Bogota;866
2017-01-09;Mensajeria;Bogota;6018
2017-01-09;Mercancia;Bogota;99992
2017-01-09;Mercancia Aerea;Bogota;200
2017-01-09;Paqueteo 3-5 Kl.;Bogota;3740
2017-01-09;Paquetes 1-2 Kl. (ME);Bogota;5798
2017-01-09;Radicación de Documentos;Bogota;1353
2017-01-09;Firma de Documentos;Bucaramanga;89
2017-01-09;Mensajeria;Bucaramanga;752
2017-01-09;Mercancia;Bucaramanga;2183
2017-01-09;Paqueteo 3-5 Kl.;Bucaramanga;222
2017-01-09;Paquetes 1-2 Kl. (ME);Bucaramanga;496
2017-01-09;Radicación de Documentos;Bucaramanga;163
2017-01-09;Firma de Documentos;Cucuta;28
2017-01-09;Mensajeria;Cucuta;162
2017-01-09;Mercancia;Cucuta;625
2017-01-09;Mercancia Aerea;Cucuta;1
2017-01-09;Paqueteo 3-5 Kl.;Cucuta;66
2017-01-09;Paquetes 1-2 Kl. (ME);Cucuta;107
2017-01-09;Radicación de Documentos;Cucuta;90
2017-01-09;Firma de Documentos;Ibague;43
2017-01-09;Mensajeria;Ibague;319
2017-01-09;Mercancia;Ibague;1595
2017-01-09;Paqueteo 3-5 Kl.;Ibague;154
2017-01-09;Paquetes 1-2 Kl. (ME);Ibague;141
2017-01-09;Radicación de Documentos;Ibague;205
2017-01-09;Firma de Documentos;Manizales;30
2017-01-09;Mensajeria;Manizales;178
2017-01-09;Mercancia;Manizales;10967
2017-01-09;Paqueteo 3-5 Kl.;Manizales;379
2017-01-09;Paquetes 1-2 Kl. (ME);Manizales;98
2017-01-09;Radicación de Documentos;Manizales;81
2017-01-09;Firma de Documentos;Medellin;781
2017-01-09;Mensajeria;Medellin;4676
2017-01-09;Mercancia;Medellin;46004
2017-01-09;Mercancia Aerea;Medellin;53
2017-01-09;Paqueteo 3-5 Kl.;Medellin;3540
2017-01-09;Paquetes 1-2 Kl. (ME);Medellin;9133
2017-01-09;Radicación de Documentos;Medellin;533
2017-01-09;Firma de Documentos;Pasto;22
2017-01-09;Mensajeria;Pasto;157
2017-01-09;Mercancia;Pasto;561
2017-01-09;Paqueteo 3-5 Kl.;Pasto;71
2017-01-09;Paquetes 1-2 Kl. (ME);Pasto;62
2017-01-09;Radicación de Documentos;Pasto;77
2017-01-09;Firma de Documentos;Pereira;108
2017-01-09;Mensajeria;Pereira;919
2017-01-09;Mercancia;Pereira;9653
2017-01-09;Paqueteo 3-5 Kl.;Pereira;238
2017-01-09;Paquetes 1-2 Kl. (ME);Pereira;574
2017-01-09;Radicación de Documentos;Pereira;195
2017-01-09;Firma de Documentos;Sincelejo;58
2017-01-09;Mensajeria;Sincelejo;491
2017-01-09;Mercancia;Sincelejo;1051
2017-01-09;Paqueteo 3-5 Kl.;Sincelejo;194
2017-01-09;Paquetes 1-2 Kl. (ME);Sincelejo;195
2017-01-09;Radicación de Documentos;Sincelejo;175
2017-01-09;Firma de Documentos;Turbaco;137
2017-01-09;Mensajeria;Turbaco;748
2017-01-09;Mercancia;Turbaco;2407
2017-01-09;Paqueteo 3-5 Kl.;Turbaco;180
2017-01-09;Paquetes 1-2 Kl. (ME);Turbaco;362
2017-01-09;Radicación de Documentos;Turbaco;146
2017-01-09;Firma de Documentos;Yumbo;442
2017-01-09;Mensajeria;Yumbo;2567
2017-01-09;Mercancia;Yumbo;39152
2017-01-09;Mercancia Aerea;Yumbo;22
2017-01-09;Paqueteo 3-5 Kl.;Yumbo;880
2017-01-09;Paquetes 1-2 Kl. (ME);Yumbo;1915
2017-01-09;Radicación de Documentos;Yumbo;391
2017-01-16;Firma de Documentos;Barranquilla;399
2017-01-16;Mensajeria;Barranquilla;1870
2017-01-16;Mercancia;Barranquilla;8426
2017-01-16;Paqueteo 3-5 Kl.;Barranquilla;1026
2017-01-16;Paquetes 1-2 Kl. (ME);Barranquilla;1566
2017-01-16;Radicación de Documentos;Barranquilla;613
2017-01-16;Firma de Documentos;Bogota;1278
2017-01-16;Mensajeria;Bogota;7744
2017-01-16;Mercancia;Bogota;125637
2017-01-16;Mercancia Aerea;Bogota;309
2017-01-16;Paqueteo 3-5 Kl.;Bogota;4870
2017-01-16;Paquetes 1-2 Kl. (ME);Bogota;7609
2017-01-16;Radicación de Documentos;Bogota;1433
2017-01-16;Firma de Documentos;Bucaramanga;180
2017-01-16;Mensajeria;Bucaramanga;793
2017-01-16;Mercancia;Bucaramanga;3188
2017-01-16;Paqueteo 3-5 Kl.;Bucaramanga;307
2017-01-16;Paquetes 1-2 Kl. (ME);Bucaramanga;638
2017-01-16;Radicación de Documentos;Bucaramanga;361
2017-01-16;Firma de Documentos;Cucuta;34
2017-01-16;Mensajeria;Cucuta;223
2017-01-16;Mercancia;Cucuta;848
2017-01-16;Paqueteo 3-5 Kl.;Cucuta;94
2017-01-16;Paquetes 1-2 Kl. (ME);Cucuta;228
2017-01-16;Radicación de Documentos;Cucuta;119
2017-01-16;Firma de Documentos;Ibague;83
2017-01-16;Mensajeria;Ibague;456
2017-01-16;Mercancia;Ibague;1936
2017-01-16;Paqueteo 3-5 Kl.;Ibague;186
2017-01-16;Paquetes 1-2 Kl. (ME);Ibague;156
2017-01-16;Radicación de Documentos;Ibague;227
2017-01-16;Firma de Documentos;Manizales;49
2017-01-16;Mensajeria;Manizales;249
2017-01-16;Mercancia;Manizales;12395
2017-01-16;Paqueteo 3-5 Kl.;Manizales;112
2017-01-16;Paquetes 1-2 Kl. (ME);Manizales;146
2017-01-16;Radicación de Documentos;Manizales;119
2017-01-16;Firma de Documentos;Medellin;1077
2017-01-16;Mensajeria;Medellin;6025
2017-01-16;Mercancia;Medellin;60092
2017-01-16;Mercancia Aerea;Medellin;24
2017-01-16;Paqueteo 3-5 Kl.;Medellin;3722
2017-01-16;Paquetes 1-2 Kl. (ME);Medellin;12741
2017-01-16;Radicación de Documentos;Medellin;787
2017-01-16;Firma de Documentos;Pasto;28
2017-01-16;Mensajeria;Pasto;184
2017-01-16;Mercancia;Pasto;728
2017-01-16;Paqueteo 3-5 Kl.;Pasto;74
2017-01-16;Paquetes 1-2 Kl. (ME);Pasto;89
2017-01-16;Radicación de Documentos;Pasto;100
2017-01-16;Firma de Documentos;Pereira;178
2017-01-16;Mensajeria;Pereira;1142
2017-01-16;Mercancia;Pereira;11148
2017-01-16;Mercancia Aerea;Pereira;1
2017-01-16;Paqueteo 3-5 Kl.;Pereira;244
2017-01-16;Paquetes 1-2 Kl. (ME);Pereira;699
2017-01-16;Radicación de Documentos;Pereira;301
2017-01-16;Firma de Documentos;Sincelejo;110
2017-01-16;Mensajeria;Sincelejo;593
2017-01-16;Mercancia;Sincelejo;1067
2017-01-16;Paqueteo 3-5 Kl.;Sincelejo;228
2017-01-16;Paquetes 1-2 Kl. (ME);Sincelejo;220
2017-01-16;Radicación de Documentos;Sincelejo;149
2017-01-16;Firma de Documentos;Turbaco;199
2017-01-16;Mensajeria;Turbaco;966
2017-01-16;Mercancia;Turbaco;4179
2017-01-16;Mercancia Aerea;Turbaco;2
2017-01-16;Paqueteo 3-5 Kl.;Turbaco;301
2017-01-16;Paquetes 1-2 Kl. (ME);Turbaco;489
2017-01-16;Radicación de Documentos;Turbaco;191
2017-01-16;Firma de Documentos;Yumbo;604
2017-01-16;Mensajeria;Yumbo;3391
2017-01-16;Mercancia;Yumbo;51435
2017-01-16;Mercancia Aerea;Yumbo;32
2017-01-16;Paqueteo 3-5 Kl.;Yumbo;1216
2017-01-16;Paquetes 1-2 Kl. (ME);Yumbo;2573
2017-01-16;Radicación de Documentos;Yumbo;608
2017-01-23;Firma de Documentos;Barranquilla;351
2017-01-23;Mensajeria;Barranquilla;1565
2017-01-23;Mercancia;Barranquilla;8980
2017-01-23;Mercancia Aerea;Barranquilla;3
2017-01-23;Paqueteo 3-5 Kl.;Barranquilla;876
2017-01-23;Paquetes 1-2 Kl. (ME);Barranquilla;1340
2017-01-23;Radicación de Documentos;Barranquilla;555
2017-01-23;Firma de Documentos;Bogota;1129
2017-01-23;Mensajeria;Bogota;8360
2017-01-23;Mercancia;Bogota;132519
2017-01-23;Mercancia Aerea;Bogota;363
2017-01-23;Paqueteo 3-5 Kl.;Bogota;4395
2017-01-23;Paquetes 1-2 Kl. (ME);Bogota;8393
2017-01-23;Radicación de Documentos;Bogota;1657
2017-01-23;Firma de Documentos;Bucaramanga;236
2017-01-23;Mensajeria;Bucaramanga;753
2017-01-23;Mercancia;Bucaramanga;3718
2017-01-23;Paqueteo 3-5 Kl.;Bucaramanga;346
2017-01-23;Paquetes 1-2 Kl. (ME);Bucaramanga;487
2017-01-23;Radicación de Documentos;Bucaramanga;381
2017-01-23;Firma de Documentos;Cucuta;39
2017-01-23;Mensajeria;Cucuta;189
2017-01-23;Mercancia;Cucuta;890
2017-01-23;Paqueteo 3-5 Kl.;Cucuta;110
2017-01-23;Paquetes 1-2 Kl. (ME);Cucuta;193
2017-01-23;Radicación de Documentos;Cucuta;155
2017-01-23;Firma de Documentos;Ibague;79
2017-01-23;Mensajeria;Ibague;347
2017-01-23;Mercancia;Ibague;2095
2017-01-23;Paqueteo 3-5 Kl.;Ibague;146
2017-01-23;Paquetes 1-2 Kl. (ME);Ibague;175
2017-01-23;Radicación de Documentos;Ibague;255
2017-01-23;Firma de Documentos;Manizales;34
2017-01-23;Mensajeria;Manizales;262
2017-01-23;Mercancia;Manizales;11404
2017-01-23;Paqueteo 3-5 Kl.;Manizales;136
2017-01-23;Paquetes 1-2 Kl. (ME);Manizales;106
2017-01-23;Radicación de Documentos;Manizales;117
2017-01-23;Firma de Documentos;Medellin;991
2017-01-23;Mensajeria;Medellin;5658
2017-01-23;Mercancia;Medellin;58372
2017-01-23;Mercancia Aerea;Medellin;20
2017-01-23;Paqueteo 3-5 Kl.;Medellin;4640
2017-01-23;Paquetes 1-2 Kl. (ME);Medellin;12816
2017-01-23;Radicación de Documentos;Medellin;886
2017-01-23;Firma de Documentos;Pasto;26
2017-01-23;Mensajeria;Pasto;203
2017-01-23;Mercancia;Pasto;828
2017-01-23;Paqueteo 3-5 Kl.;Pasto;73
2017-01-23;Paquetes 1-2 Kl. (ME);Pasto;94
2017-01-23;Radicación de Documentos;Pasto;108
2017-01-23;Firma de Documentos;Pereira;206
2017-01-23;Mensajeria;Pereira;1235
2017-01-23;Mercancia;Pereira;10626
2017-01-23;Mercancia Aerea;Pereira;1
2017-01-23;Paqueteo 3-5 Kl.;Pereira;268
2017-01-23;Paquetes 1-2 Kl. (ME);Pereira;753
2017-01-23;Radicación de Documentos;Pereira;351
