Fecha;recogidas
01/01/2020;2
02/01/2020;58623
03/01/2020;61835
04/01/2020;27483
05/01/2020;1904
06/01/2020;1548
07/01/2020;65524
08/01/2020;61277
09/01/2020;61021
10/01/2020;64174
11/01/2020;38926
12/01/2020;871
13/01/2020;74722
14/01/2020;72351
15/01/2020;73441
16/01/2020;72638
17/01/2020;77469
18/01/2020;39130
19/01/2020;450
20/01/2020;72830
21/01/2020;74512
22/01/2020;73289
23/01/2020;73251
24/01/2020;77047
25/01/2020;40655
26/01/2020;507
27/01/2020;81743
28/01/2020;73605
29/01/2020;74659
30/01/2020;77706
31/01/2020;69471
01/02/2020;39455
02/02/2020;1021
03/02/2020;77510
04/02/2020;75481
05/02/2020;70662
06/02/2020;69777
07/02/2020;75003
08/02/2020;36890
09/02/2020;363
10/02/2020;75464
11/02/2020;72240
12/02/2020;73112
13/02/2020;67706
14/02/2020;68554
15/02/2020;33752
16/02/2020;452
17/02/2020;74751
18/02/2020;76440
19/02/2020;69476
20/02/2020;67943
21/02/2020;73602
22/02/2020;34213
23/02/2020;314
24/02/2020;68462
25/02/2020;66385
26/02/2020;66264
27/02/2020;64449
28/02/2020;66655
29/02/2020;35825
01/03/2020;413
02/03/2020;76790
03/03/2020;81251
04/03/2020;72571
05/03/2020;69632
06/03/2020;67997
07/03/2020;32781
08/03/2020;1163
09/03/2020;72133
10/03/2020;70108
11/03/2020;71530
12/03/2020;72759
13/03/2020;75367
14/03/2020;35738
15/03/2020;533
16/03/2020;75125
17/03/2020;66371
18/03/2020;65194
19/03/2020;66822
20/03/2020;33358
21/03/2020;7921
23/03/2020;175
24/03/2020;32259
25/03/2020;36453
26/03/2020;28669
27/03/2020;24866
28/03/2020;14035
29/03/2020;11
30/03/2020;28662
31/03/2020;28785
01/04/2020;31245
02/04/2020;28925
03/04/2020;35619
04/04/2020;20091
05/04/2020;172
06/04/2020;43008
07/04/2020;40310
08/04/2020;43512
09/04/2020;321
10/04/2020;171
11/04/2020;31910
12/04/2020;93
13/04/2020;55790
14/04/2020;52357
15/04/2020;55633
16/04/2020;52983
17/04/2020;57221
18/04/2020;31534
19/04/2020;678
20/04/2020;61446
21/04/2020;58358
22/04/2020;57298
23/04/2020;56468
24/04/2020;60594
25/04/2020;36608
26/04/2020;567
27/04/2020;78620
28/04/2020;69510
29/04/2020;69299
30/04/2020;70010
01/05/2020;4657
02/05/2020;56461
03/05/2020;2675
04/05/2020;88528
05/05/2020;79251
06/05/2020;82755
07/05/2020;75185
08/05/2020;80949
09/05/2020;49405
10/05/2020;1387
11/05/2020;74714
12/05/2020;79170
13/05/2020;83787
14/05/2020;71706
15/05/2020;70807
16/05/2020;40892
17/05/2020;440
18/05/2020;88426
19/05/2020;89487
20/05/2020;82789
21/05/2020;82171
22/05/2020;76527
23/05/2020;47804
24/05/2020;622
25/05/2020;1399
26/05/2020;120995
27/05/2020;99765
28/05/2020;81494
29/05/2020;79413
30/05/2020;48356
31/05/2020;1056
01/06/2020;89403
02/06/2020;85523
03/06/2020;78367
04/06/2020;78895
05/06/2020;81362
06/06/2020;45323
07/06/2020;550
08/06/2020;96955
09/06/2020;90052
10/06/2020;87068
11/06/2020;80922
12/06/2020;85562
13/06/2020;55795
14/06/2020;2436
15/06/2020;9353
16/06/2020;102760
17/06/2020;111876
18/06/2020;93789
19/06/2020;90627
20/06/2020;96302
21/06/2020;20249
22/06/2020;24477
23/06/2020;121532
24/06/2020;120855
25/06/2020;107998
26/06/2020;90090
27/06/2020;58734
28/06/2020;6514
29/06/2020;11800
30/06/2020;115851
01/07/2020;108818
02/07/2020;90233
03/07/2020;112991
04/07/2020;112135
05/07/2020;40005
06/07/2020;124810
07/07/2020;130346
08/07/2020;108634
09/07/2020;109746
10/07/2020;101768
11/07/2020;70916
12/07/2020;641
13/07/2020;101203
14/07/2020;98905
15/07/2020;91054
16/07/2020;88638
17/07/2020;82242
18/07/2020;58558
19/07/2020;721
20/07/2020;2615
21/07/2020;124144
22/07/2020;128212
23/07/2020;106927
24/07/2020;96074
25/07/2020;56599
26/07/2020;1172
27/07/2020;105182
28/07/2020;97629
29/07/2020;88859
30/07/2020;90875
31/07/2020;79198
01/08/2020;51664
02/08/2020;1937
03/08/2020;103593
04/08/2020;90901
05/08/2020;90330
06/08/2020;87293
07/08/2020;2722
08/08/2020;62796
09/08/2020;860
10/08/2020;110337
11/08/2020;99840
12/08/2020;95178
13/08/2020;87878
14/08/2020;82915
15/08/2020;48825
16/08/2020;536
17/08/2020;3332
18/08/2020;119437
19/08/2020;104696
20/08/2020;104096
21/08/2020;102431
22/08/2020;59705
23/08/2020;327
24/08/2020;114486
25/08/2020;101915
26/08/2020;91105
27/08/2020;88680
28/08/2020;89551
29/08/2020;51112
30/08/2020;704
31/08/2020;97591
01/09/2020;93820
02/09/2020;85508
03/09/2020;82882
04/09/2020;83281
05/09/2020;47499
06/09/2020;1487
07/09/2020;97866
08/09/2020;87860
09/09/2020;89547
10/09/2020;82168
11/09/2020;81012
12/09/2020;49419
13/09/2020;970
14/09/2020;93446
15/09/2020;87096
16/09/2020;89203
17/09/2020;86948
18/09/2020;83658
19/09/2020;46039
20/09/2020;1419
21/09/2020;99776
22/09/2020;92058
23/09/2020;85217
24/09/2020;82804
25/09/2020;90676
26/09/2020;49568
27/09/2020;1665
28/09/2020;93380
29/09/2020;84760
30/09/2020;86740
01/10/2020;81688
02/10/2020;84054
03/10/2020;46470
04/10/2020;1547
05/10/2020;93678
06/10/2020;91280
07/10/2020;84492
08/10/2020;81993
09/10/2020;81790
10/10/2020;46997
11/10/2020;2791
12/10/2020;909
13/10/2020;103309
14/10/2020;92528
15/10/2020;85358
16/10/2020;87502
17/10/2020;52185
18/10/2020;2073
19/10/2020;107398
20/10/2020;107687
21/10/2020;102418
22/10/2020;99256
23/10/2020;104427
24/10/2020;56586
25/10/2020;7060
26/10/2020;102090
27/10/2020;92674
28/10/2020;94839
29/10/2020;82661
30/10/2020;84007
31/10/2020;51040
01/11/2020;1138
02/11/2020;1053
03/11/2020;111818
04/11/2020;96883
05/11/2020;94717
06/11/2020;88240
07/11/2020;52034
08/11/2020;2682
09/11/2020;102865
10/11/2020;94142
11/11/2020;96526
12/11/2020;96824
13/11/2020;90409
14/11/2020;56827
15/11/2020;1235
16/11/2020;758
17/11/2020;129568
18/11/2020;114957
19/11/2020;102938
20/11/2020;103652
21/11/2020;65945
22/11/2020;79877
23/11/2020;134392
24/11/2020;146167
25/11/2020;144611
26/11/2020;143390
27/11/2020;120731
28/11/2020;120893
29/11/2020;37868
30/11/2020;122824
01/12/2020;139729
02/12/2020;138372
03/12/2020;130532
04/12/2020;119716
05/12/2020;122847
06/12/2020;6277
07/12/2020;115347
08/12/2020;36187
09/12/2020;114780
10/12/2020;130266
11/12/2020;127842
12/12/2020;101880
13/12/2020;9218
14/12/2020;137272
15/12/2020;134103
16/12/2020;125768
17/12/2020;124394
18/12/2020;140549
19/12/2020;88564
20/12/2020;13336
21/12/2020;116273
22/12/2020;126958
23/12/2020;110334
24/12/2020;49911
25/12/2020;582
26/12/2020;45969
27/12/2020;1339
28/12/2020;105902
29/12/2020;98514
30/12/2020;88088
31/12/2020;2693
01/01/2021;65
02/01/2021;43812
03/01/2021;2838
04/01/2021;89980
05/01/2021;72149
06/01/2021;71852
07/01/2021;75927
08/01/2021;70831
09/01/2021;33707
10/01/2021;673
11/01/2021;323
12/01/2021;107341
13/01/2021;94303
14/01/2021;84626
15/01/2021;85319
16/01/2021;44569
17/01/2021;2206
18/01/2021;109723
19/01/2021;97510
20/01/2021;95213
21/01/2021;84823
22/01/2021;90452
23/01/2021;43601
24/01/2021;653
25/01/2021;95391
26/01/2021;89574
27/01/2021;84019
28/01/2021;84530
29/01/2021;78286
30/01/2021;42700
31/01/2021;1668
01/02/2021;92881
02/02/2021;85505
03/02/2021;85005
04/02/2021;85676
05/02/2021;84190
06/02/2021;45012
07/02/2021;360
08/02/2021;96776
09/02/2021;83651
10/02/2021;82704
11/02/2021;78348
12/02/2021;82864
13/02/2021;44148
14/02/2021;652
15/02/2021;95487
16/02/2021;85896
17/02/2021;78709
18/02/2021;82183
19/02/2021;77764
20/02/2021;38521
21/02/2021;940
22/02/2021;84958
23/02/2021;83191
24/02/2021;77130
25/02/2021;76026
26/02/2021;80173
27/02/2021;41783
28/02/2021;866
01/03/2021;93147
02/03/2021;85160
03/03/2021;83757
04/03/2021;75099
05/03/2021;80859
06/03/2021;41847
07/03/2021;359
08/03/2021;91726
09/03/2021;83734
10/03/2021;84067
11/03/2021;80645
12/03/2021;78659
13/03/2021;40547
14/03/2021;252
15/03/2021;94304
16/03/2021;85889
17/03/2021;82381
18/03/2021;76570
19/03/2021;79678
20/03/2021;39484
21/03/2021;1252
22/03/2021;405
23/03/2021;104323
24/03/2021;96258
25/03/2021;93127
26/03/2021;89746
27/03/2021;52206
28/03/2021;5735
29/03/2021;101556
30/03/2021;90186
31/03/2021;81555
01/04/2021;966
02/04/2021;434
03/04/2021;37693
04/04/2021;372
05/04/2021;89630
06/04/2021;108589
07/04/2021;84128
08/04/2021;77931
09/04/2021;79298
10/04/2021;38554
11/04/2021;1020
12/04/2021;107714
13/04/2021;97947
14/04/2021;90452
15/04/2021;90978
16/04/2021;88040
17/04/2021;42025
18/04/2021;483
19/04/2021;111857
20/04/2021;110238
21/04/2021;103710
22/04/2021;94344
23/04/2021;83033
24/04/2021;40602
25/04/2021;386
26/04/2021;110568
27/04/2021;96321
28/04/2021;53542
29/04/2021;80840
30/04/2021;63622
01/05/2021;2346
02/05/2021;263
03/05/2021;92244
04/05/2021;76018
05/05/2021;39834
06/05/2021;67847
07/05/2021;66816
08/05/2021;38593
09/05/2021;493
10/05/2021;81677
11/05/2021;72231
12/05/2021;53039
13/05/2021;67662
14/05/2021;64682
15/05/2021;39054
16/05/2021;767
17/05/2021;1539
18/05/2021;87029
19/05/2021;94384
20/05/2021;90849
21/05/2021;84073
22/05/2021;41693
23/05/2021;6063
24/05/2021;92589
25/05/2021;83244
26/05/2021;78033
27/05/2021;78917
28/05/2021;68107
29/05/2021;39529
30/05/2021;2948
31/05/2021;81838
01/06/2021;91356
02/06/2021;80895
03/06/2021;84587
04/06/2021;85015
05/06/2021;46385
06/06/2021;4908
07/06/2021;1095
08/06/2021;84623
09/06/2021;129229
10/06/2021;17749
