Week;Terminal_origen;productoMaestro;recogidas
2021-06-30;Barranquilla;Mercancia;413
2021-06-30;Barranquilla;Paquetes 1-2;315
2021-06-30;Barranquilla;Paqueteo 3-5;81
2021-06-30;Barranquilla;Mensajeria;77
2021-06-30;Bogota;Paquetes 1-2;3509
2021-06-30;Bogota;Mercancia;2879
2021-06-30;Bogota;Paqueteo 3-5;586
2021-06-30;Bogota;Mensajeria;157
2021-06-30;Bosconia;Mercancia;180
2021-06-30;Bosconia;Paquetes 1-2;121
2021-06-30;Bosconia;Paqueteo 3-5;38
2021-06-30;Bosconia;Mensajeria;34
2021-06-30;Bucaramanga;Mercancia;137
2021-06-30;Bucaramanga;Paquetes 1-2;54
2021-06-30;Bucaramanga;Mensajeria;18
2021-06-30;Bucaramanga;Paqueteo 3-5;17
2021-06-30;Cienaga;Mercancia;160
2021-06-30;Cienaga;Paquetes 1-2;109
2021-06-30;Cienaga;Paqueteo 3-5;50
2021-06-30;Cienaga;Mensajeria;24
2021-06-30;Cucuta;Paqueteo 3-5;85
2021-06-30;Cucuta;Mercancia;46
2021-06-30;Cucuta;Paquetes 1-2;30
2021-06-30;Cucuta;Mensajeria;16
2021-06-30;Ibague;Paquetes 1-2;248
2021-06-30;Ibague;Mercancia;117
2021-06-30;Ibague;Mensajeria;44
2021-06-30;Ibague;Paqueteo 3-5;38
2021-06-30;Manizales;Mercancia;114
2021-06-30;Manizales;Paquetes 1-2;33
2021-06-30;Manizales;Mensajeria;19
2021-06-30;Manizales;Paqueteo 3-5;10
2021-06-30;Medellin;Paquetes 1-2;2514
2021-06-30;Medellin;Mercancia;1718
2021-06-30;Medellin;Paqueteo 3-5;399
2021-06-30;Medellin;Mensajeria;213
2021-06-30;Neiva;Paquetes 1-2;55
2021-06-30;Neiva;Mercancia;52
2021-06-30;Neiva;Mensajeria;11
2021-06-30;Neiva;Paqueteo 3-5;9
2021-06-30;Pasto;Paquetes 1-2;65
2021-06-30;Pasto;Mercancia;59
2021-06-30;Pasto;Mensajeria;13
2021-06-30;Pasto;Paqueteo 3-5;13
2021-06-30;Pereira;Mercancia;454
2021-06-30;Pereira;Paquetes 1-2;108
2021-06-30;Pereira;Mensajeria;40
2021-06-30;Pereira;Paqueteo 3-5;21
