Week;Terminal_origen;productoMaestro;recogidas
2021-06-28;Barranquilla;Mercancia;4025
2021-06-28;Barranquilla;Paquetes 1-2;3151
2021-06-28;Barranquilla;Paqueteo 3-5;808
2021-06-28;Barranquilla;Mensajeria;438
2021-06-28;Bogota;Mercancia;43895
2021-06-28;Bogota;Paquetes 1-2;32239
2021-06-28;Bogota;Paqueteo 3-5;8631
2021-06-28;Bogota;Mensajeria;2904
2021-06-28;Bosconia;Paquetes 1-2;322
2021-06-28;Bosconia;Mercancia;316
2021-06-28;Bosconia;Mensajeria;118
2021-06-28;Bosconia;Paqueteo 3-5;77
2021-06-28;Bucaramanga;Paquetes 1-2;1669
2021-06-28;Bucaramanga;Mercancia;1493
2021-06-28;Bucaramanga;Paqueteo 3-5;413
2021-06-28;Bucaramanga;Mensajeria;386
2021-06-28;Cienaga;Mercancia;357
2021-06-28;Cienaga;Paquetes 1-2;319
2021-06-28;Cienaga;Paqueteo 3-5;105
2021-06-28;Cienaga;Mensajeria;94
2021-06-28;Cucuta;Paqueteo 3-5;2161
2021-06-28;Cucuta;Paquetes 1-2;1482
2021-06-28;Cucuta;Mercancia;816
2021-06-28;Cucuta;Mensajeria;113
2021-06-28;Ibague;Mercancia;557
2021-06-28;Ibague;Paquetes 1-2;441
2021-06-28;Ibague;Mensajeria;114
2021-06-28;Ibague;Paqueteo 3-5;94
2021-06-28;Manizales;Mercancia;1556
2021-06-28;Manizales;Paquetes 1-2;371
2021-06-28;Manizales;Mensajeria;101
2021-06-28;Manizales;Paqueteo 3-5;93
2021-06-28;Medellin;Paquetes 1-2;27650
2021-06-28;Medellin;Mercancia;24401
2021-06-28;Medellin;Paqueteo 3-5;4886
2021-06-28;Medellin;Mensajeria;1457
2021-06-28;Neiva;Mercancia;330
2021-06-28;Neiva;Paquetes 1-2;267
2021-06-28;Neiva;Mensajeria;95
2021-06-28;Neiva;Paqueteo 3-5;75
2021-06-28;Pasto;Paquetes 1-2;419
2021-06-28;Pasto;Mercancia;336
2021-06-28;Pasto;Mensajeria;174
2021-06-28;Pasto;Paqueteo 3-5;85
2021-06-28;Pereira;Mercancia;3125
2021-06-28;Pereira;Paquetes 1-2;1277
2021-06-28;Pereira;Mensajeria;356
2021-06-28;Pereira;Paqueteo 3-5;320
2021-06-28;Sin Terminal;Mercancia;19
2021-06-28;Sin Terminal;Paquetes 1-2;18
2021-06-28;Sin Terminal;Paqueteo 3-5;11
2021-06-28;Sincelejo;Paquetes 1-2;958
2021-06-28;Sincelejo;Mercancia;719
2021-06-28;Sincelejo;Mensajeria;320
2021-06-28;Sincelejo;Paqueteo 3-5;161
2021-06-28;Turbaco;Mercancia;4602
2021-06-28;Turbaco;Paquetes 1-2;886
2021-06-28;Turbaco;Mensajeria;226
2021-06-28;Turbaco;Paqueteo 3-5;215
2021-06-28;Yumbo;Mercancia;12995
2021-06-28;Yumbo;Paquetes 1-2;8228
2021-06-28;Yumbo;Paqueteo 3-5;1752
2021-06-28;Yumbo;Mensajeria;963
2021-06-21;Barranquilla;Mercancia;12488
2021-06-21;Barranquilla;Paquetes 1-2;8453
2021-06-21;Barranquilla;Paqueteo 3-5;1977
2021-06-21;Barranquilla;Mensajeria;1399
2021-06-21;Bogota;Mercancia;114555
2021-06-21;Bogota;Paquetes 1-2;78701
2021-06-21;Bogota;Paqueteo 3-5;23313
2021-06-21;Bogota;Mensajeria;6903
2021-06-21;Bosconia;Paquetes 1-2;451
2021-06-21;Bosconia;Mercancia;406
2021-06-21;Bosconia;Mensajeria;211
2021-06-21;Bosconia;Paqueteo 3-5;124
2021-06-21;Bucaramanga;Paquetes 1-2;4265
2021-06-21;Bucaramanga;Mercancia;3737
2021-06-21;Bucaramanga;Paqueteo 3-5;1191
2021-06-21;Bucaramanga;Mensajeria;895
2021-06-21;Cienaga;Mercancia;719
2021-06-21;Cienaga;Paquetes 1-2;712
2021-06-21;Cienaga;Mensajeria;224
2021-06-21;Cienaga;Paqueteo 3-5;180
2021-06-21;Cucuta;Paqueteo 3-5;5078
2021-06-21;Cucuta;Paquetes 1-2;3306
2021-06-21;Cucuta;Mercancia;1506
2021-06-21;Cucuta;Mensajeria;316
2021-06-21;Ibague;Mercancia;1095
2021-06-21;Ibague;Paquetes 1-2;1009
2021-06-21;Ibague;Paqueteo 3-5;298
2021-06-21;Ibague;Mensajeria;283
2021-06-21;Manizales;Mercancia;4202
2021-06-21;Manizales;Paquetes 1-2;924
2021-06-21;Manizales;Mensajeria;340
2021-06-21;Manizales;Paqueteo 3-5;194
2021-06-21;Medellin;Paquetes 1-2;83756
2021-06-21;Medellin;Mercancia;63051
2021-06-21;Medellin;Paqueteo 3-5;13365
2021-06-21;Medellin;Mensajeria;4024
2021-06-21;Neiva;Paquetes 1-2;841
2021-06-21;Neiva;Mercancia;766
2021-06-21;Neiva;Mensajeria;302
2021-06-21;Neiva;Paqueteo 3-5;261
2021-06-21;Pasto;Paquetes 1-2;833
2021-06-21;Pasto;Mercancia;755
2021-06-21;Pasto;Mensajeria;384
2021-06-21;Pasto;Paqueteo 3-5;221
2021-06-21;Pereira;Mercancia;9018
2021-06-21;Pereira;Paquetes 1-2;3185
2021-06-21;Pereira;Mensajeria;983
2021-06-21;Pereira;Paqueteo 3-5;944
2021-06-21;Sin Terminal;Paquetes 1-2;18
2021-06-21;Sin Terminal;Paqueteo 3-5;7
2021-06-21;Sin Terminal;Mercancia;6
2021-06-21;Sin Terminal;Mensajeria;1
2021-06-21;Sincelejo;Paquetes 1-2;2141
2021-06-21;Sincelejo;Mercancia;1560
2021-06-21;Sincelejo;Mensajeria;572
2021-06-21;Sincelejo;Paqueteo 3-5;413
2021-06-21;Turbaco;Mercancia;4565
2021-06-21;Turbaco;Paquetes 1-2;2171
2021-06-21;Turbaco;Paqueteo 3-5;589
2021-06-21;Turbaco;Mensajeria;522
2021-06-21;Yumbo;Mercancia;34219
2021-06-21;Yumbo;Paquetes 1-2;20179
2021-06-21;Yumbo;Paqueteo 3-5;4478
2021-06-21;Yumbo;Mensajeria;2546
2021-06-14;Barranquilla;Mercancia;10045
2021-06-14;Barranquilla;Paquetes 1-2;7724
2021-06-14;Barranquilla;Paqueteo 3-5;1680
2021-06-14;Barranquilla;Mensajeria;860
2021-06-14;Bogota;Mercancia;99757
2021-06-14;Bogota;Paquetes 1-2;67218
2021-06-14;Bogota;Paqueteo 3-5;18227
2021-06-14;Bogota;Mensajeria;6622
2021-06-14;Bosconia;Paquetes 1-2;388
2021-06-14;Bosconia;Mercancia;387
2021-06-14;Bosconia;Mensajeria;196
2021-06-14;Bosconia;Paqueteo 3-5;135
2021-06-14;Bucaramanga;Paquetes 1-2;3805
2021-06-14;Bucaramanga;Mercancia;3234
2021-06-14;Bucaramanga;Paqueteo 3-5;989
2021-06-14;Bucaramanga;Mensajeria;814
2021-06-14;Cienaga;Paquetes 1-2;575
2021-06-14;Cienaga;Mercancia;467
2021-06-14;Cienaga;Mensajeria;217
2021-06-14;Cienaga;Paqueteo 3-5;173
2021-06-14;Cucuta;Paqueteo 3-5;6116
2021-06-14;Cucuta;Paquetes 1-2;3462
2021-06-14;Cucuta;Mercancia;1580
2021-06-14;Cucuta;Mensajeria;280
2021-06-14;Ibague;Mercancia;875
2021-06-14;Ibague;Paquetes 1-2;770
2021-06-14;Ibague;Paqueteo 3-5;274
2021-06-14;Ibague;Mensajeria;206
2021-06-14;Manizales;Mercancia;2901
2021-06-14;Manizales;Paquetes 1-2;777
2021-06-14;Manizales;Mensajeria;284
2021-06-14;Manizales;Paqueteo 3-5;156
2021-06-14;Medellin;Paquetes 1-2;60863
2021-06-14;Medellin;Mercancia;56332
2021-06-14;Medellin;Paqueteo 3-5;10684
2021-06-14;Medellin;Mensajeria;3645
2021-06-14;Neiva;Mercancia;725
2021-06-14;Neiva;Paquetes 1-2;488
2021-06-14;Neiva;Mensajeria;271
2021-06-14;Neiva;Paqueteo 3-5;186
2021-06-14;Pasto;Paquetes 1-2;786
2021-06-14;Pasto;Mercancia;536
2021-06-14;Pasto;Mensajeria;397
2021-06-14;Pasto;Paqueteo 3-5;185
2021-06-14;Pereira;Mercancia;7408
2021-06-14;Pereira;Paquetes 1-2;2988
2021-06-14;Pereira;Mensajeria;875
2021-06-14;Pereira;Paqueteo 3-5;725
2021-06-14;Sin Terminal;Mercancia;40
2021-06-14;Sin Terminal;Paquetes 1-2;12
2021-06-14;Sin Terminal;Paqueteo 3-5;8
2021-06-14;Sin Terminal;Mensajeria;1
2021-06-14;Sincelejo;Paquetes 1-2;1849
2021-06-14;Sincelejo;Mercancia;1226
2021-06-14;Sincelejo;Mensajeria;563
2021-06-14;Sincelejo;Paqueteo 3-5;251
2021-06-14;Turbaco;Mercancia;6192
2021-06-14;Turbaco;Paquetes 1-2;1979
2021-06-14;Turbaco;Mensajeria;489
2021-06-14;Turbaco;Paqueteo 3-5;448
2021-06-14;Yumbo;Mercancia;33019
2021-06-14;Yumbo;Paquetes 1-2;19291
2021-06-14;Yumbo;Paqueteo 3-5;4301
2021-06-14;Yumbo;Mensajeria;3077
2021-06-07;Barranquilla;Mercancia;11052
2021-06-07;Barranquilla;Paquetes 1-2;6962
2021-06-07;Barranquilla;Paqueteo 3-5;1631
2021-06-07;Barranquilla;Mensajeria;1337
2021-06-07;Bogota;Mercancia;94047
2021-06-07;Bogota;Paquetes 1-2;59224
2021-06-07;Bogota;Paqueteo 3-5;16134
2021-06-07;Bogota;Mensajeria;8064
2021-06-07;Bosconia;Paquetes 1-2;469
2021-06-07;Bosconia;Mercancia;396
2021-06-07;Bosconia;Mensajeria;177
2021-06-07;Bosconia;Paqueteo 3-5;97
2021-06-07;Bucaramanga;Paquetes 1-2;4036
2021-06-07;Bucaramanga;Mercancia;3419
2021-06-07;Bucaramanga;Paqueteo 3-5;1008
2021-06-07;Bucaramanga;Mensajeria;802
2021-06-07;Cienaga;Paquetes 1-2;632
2021-06-07;Cienaga;Mercancia;556
2021-06-07;Cienaga;Mensajeria;144
2021-06-07;Cienaga;Paqueteo 3-5;126
2021-06-07;Cucuta;Paqueteo 3-5;4138
2021-06-07;Cucuta;Paquetes 1-2;2972
2021-06-07;Cucuta;Mercancia;1361
2021-06-07;Cucuta;Mensajeria;234
2021-06-07;Ibague;Mercancia;946
2021-06-07;Ibague;Paquetes 1-2;667
2021-06-07;Ibague;Mensajeria;245
2021-06-07;Ibague;Paqueteo 3-5;198
2021-06-07;Manizales;Mercancia;3580
2021-06-07;Manizales;Paquetes 1-2;734
2021-06-07;Manizales;Mensajeria;273
2021-06-07;Manizales;Paqueteo 3-5;178
2021-06-07;Medellin;Paquetes 1-2;57733
2021-06-07;Medellin;Mercancia;51389
2021-06-07;Medellin;Paqueteo 3-5;9678
2021-06-07;Medellin;Mensajeria;3199
2021-06-07;Neiva;Mercancia;638
2021-06-07;Neiva;Paquetes 1-2;486
2021-06-07;Neiva;Mensajeria;280
2021-06-07;Neiva;Paqueteo 3-5;241
2021-06-07;Pasto;Paquetes 1-2;454
2021-06-07;Pasto;Mercancia;384
2021-06-07;Pasto;Mensajeria;190
2021-06-07;Pasto;Paqueteo 3-5;127
2021-06-07;Pereira;Mercancia;7515
2021-06-07;Pereira;Paquetes 1-2;2387
2021-06-07;Pereira;Mensajeria;902
2021-06-07;Pereira;Paqueteo 3-5;645
2021-06-07;Sin Terminal;Paquetes 1-2;112
2021-06-07;Sin Terminal;Mercancia;19
2021-06-07;Sin Terminal;Paqueteo 3-5;10
2021-06-07;Sin Terminal;Mensajeria;5
2021-06-07;Sincelejo;Paquetes 1-2;1819
2021-06-07;Sincelejo;Mercancia;1145
2021-06-07;Sincelejo;Mensajeria;536
2021-06-07;Sincelejo;Paqueteo 3-5;335
2021-06-07;Turbaco;Mercancia;15763
2021-06-07;Turbaco;Paquetes 1-2;1854
2021-06-07;Turbaco;Paqueteo 3-5;492
2021-06-07;Turbaco;Mensajeria;443
2021-06-07;Yumbo;Mercancia;36134
2021-06-07;Yumbo;Paquetes 1-2;18472
2021-06-07;Yumbo;Paqueteo 3-5;3850
2021-06-07;Yumbo;Mensajeria;2009
2021-05-31;Barranquilla;Mercancia;10930
2021-05-31;Barranquilla;Paquetes 1-2;7685
2021-05-31;Barranquilla;Paqueteo 3-5;1880
2021-05-31;Barranquilla;Mensajeria;1220
2021-05-31;Bogota;Mercancia;96601
2021-05-31;Bogota;Paquetes 1-2;62444
2021-05-31;Bogota;Paqueteo 3-5;18781
2021-05-31;Bogota;Mensajeria;8270
2021-05-31;Bosconia;Mercancia;612
2021-05-31;Bosconia;Paquetes 1-2;420
2021-05-31;Bosconia;Mensajeria;216
2021-05-31;Bosconia;Paqueteo 3-5;100
2021-05-31;Bucaramanga;Mercancia;3932
2021-05-31;Bucaramanga;Paquetes 1-2;3616
2021-05-31;Bucaramanga;Paqueteo 3-5;1083
2021-05-31;Bucaramanga;Mensajeria;871
2021-05-31;Cienaga;Mercancia;663
2021-05-31;Cienaga;Paquetes 1-2;602
2021-05-31;Cienaga;Paqueteo 3-5;206
2021-05-31;Cienaga;Mensajeria;204
2021-05-31;Cucuta;Paqueteo 3-5;4321
2021-05-31;Cucuta;Paquetes 1-2;2575
2021-05-31;Cucuta;Mercancia;1458
2021-05-31;Cucuta;Mensajeria;311
2021-05-31;Ibague;Mercancia;1010
2021-05-31;Ibague;Paquetes 1-2;647
2021-05-31;Ibague;Paqueteo 3-5;216
2021-05-31;Ibague;Mensajeria;175
2021-05-31;Manizales;Mercancia;3980
2021-05-31;Manizales;Paquetes 1-2;746
2021-05-31;Manizales;Mensajeria;242
2021-05-31;Manizales;Paqueteo 3-5;155
2021-05-31;Medellin;Paquetes 1-2;56751
2021-05-31;Medellin;Mercancia;50935
2021-05-31;Medellin;Paqueteo 3-5;11044
2021-05-31;Medellin;Mensajeria;3745
2021-05-31;Neiva;Mercancia;709
2021-05-31;Neiva;Paquetes 1-2;528
2021-05-31;Neiva;Paqueteo 3-5;213
2021-05-31;Neiva;Mensajeria;200
2021-05-31;Pasto;Paquetes 1-2;987
2021-05-31;Pasto;Mercancia;649
2021-05-31;Pasto;Mensajeria;279
2021-05-31;Pasto;Paqueteo 3-5;207
2021-05-31;Pereira;Mercancia;8242
2021-05-31;Pereira;Paquetes 1-2;2486
2021-05-31;Pereira;Mensajeria;1001
2021-05-31;Pereira;Paqueteo 3-5;677
2021-05-31;Sin Terminal;Paquetes 1-2;4
2021-05-31;Sincelejo;Paquetes 1-2;1928
2021-05-31;Sincelejo;Mercancia;1262
2021-05-31;Sincelejo;Mensajeria;641
2021-05-31;Sincelejo;Paqueteo 3-5;405
2021-05-31;Turbaco;Mercancia;25332
2021-05-31;Turbaco;Paquetes 1-2;1961
2021-05-31;Turbaco;Paqueteo 3-5;552
2021-05-31;Turbaco;Mensajeria;491
2021-05-31;Yumbo;Mercancia;41682
2021-05-31;Yumbo;Paquetes 1-2;19313
2021-05-31;Yumbo;Paqueteo 3-5;4769
2021-05-31;Yumbo;Mensajeria;2095
2021-05-24;Barranquilla;Mercancia;11080
2021-05-24;Barranquilla;Paquetes 1-2;7902
2021-05-24;Barranquilla;Paqueteo 3-5;1683
2021-05-24;Barranquilla;Mensajeria;820
2021-05-24;Bogota;Mercancia;94706
2021-05-24;Bogota;Paquetes 1-2;62506
2021-05-24;Bogota;Paqueteo 3-5;18884
2021-05-24;Bogota;Mensajeria;9013
2021-05-24;Bosconia;Paquetes 1-2;518
2021-05-24;Bosconia;Mercancia;461
2021-05-24;Bosconia;Mensajeria;211
2021-05-24;Bosconia;Paqueteo 3-5;121
2021-05-24;Bucaramanga;Paquetes 1-2;3513
2021-05-24;Bucaramanga;Mercancia;3499
2021-05-24;Bucaramanga;Paqueteo 3-5;1100
2021-05-24;Bucaramanga;Mensajeria;779
2021-05-24;Cienaga;Paquetes 1-2;697
2021-05-24;Cienaga;Mercancia;579
2021-05-24;Cienaga;Mensajeria;214
2021-05-24;Cienaga;Paqueteo 3-5;191
2021-05-24;Cucuta;Paqueteo 3-5;3266
2021-05-24;Cucuta;Paquetes 1-2;2132
2021-05-24;Cucuta;Mercancia;1310
2021-05-24;Cucuta;Mensajeria;277
2021-05-24;Ibague;Mercancia;1171
2021-05-24;Ibague;Paquetes 1-2;772
2021-05-24;Ibague;Paqueteo 3-5;232
2021-05-24;Ibague;Mensajeria;230
2021-05-24;Manizales;Mercancia;3830
2021-05-24;Manizales;Paquetes 1-2;820
2021-05-24;Manizales;Mensajeria;282
2021-05-24;Manizales;Paqueteo 3-5;191
2021-05-24;Medellin;Paquetes 1-2;58055
2021-05-24;Medellin;Mercancia;51734
2021-05-24;Medellin;Paqueteo 3-5;10768
2021-05-24;Medellin;Mensajeria;3708
2021-05-24;Neiva;Mercancia;475
2021-05-24;Neiva;Paquetes 1-2;458
2021-05-24;Neiva;Mensajeria;165
2021-05-24;Neiva;Paqueteo 3-5;163
2021-05-24;Pasto;Paquetes 1-2;116
2021-05-24;Pasto;Mercancia;58
2021-05-24;Pasto;Paqueteo 3-5;17
2021-05-24;Pasto;Mensajeria;1
2021-05-24;Pereira;Mercancia;7841
2021-05-24;Pereira;Paquetes 1-2;2804
2021-05-24;Pereira;Mensajeria;1016
2021-05-24;Pereira;Paqueteo 3-5;760
2021-05-24;Sin Terminal;Mercancia;6
2021-05-24;Sin Terminal;Paquetes 1-2;3
2021-05-24;Sin Terminal;Paqueteo 3-5;1
2021-05-24;Sincelejo;Paquetes 1-2;2073
2021-05-24;Sincelejo;Mercancia;1173
2021-05-24;Sincelejo;Mensajeria;629
2021-05-24;Sincelejo;Paqueteo 3-5;375
2021-05-24;Turbaco;Mercancia;6772
2021-05-24;Turbaco;Paquetes 1-2;2114
2021-05-24;Turbaco;Paqueteo 3-5;573
2021-05-24;Turbaco;Mensajeria;500
2021-05-24;Yumbo;Mercancia;36683
2021-05-24;Yumbo;Paquetes 1-2;15759
2021-05-24;Yumbo;Paqueteo 3-5;3812
2021-05-24;Yumbo;Mensajeria;1846
2021-05-17;Barranquilla;Mercancia;9037
2021-05-17;Barranquilla;Paquetes 1-2;7619
2021-05-17;Barranquilla;Paqueteo 3-5;1706
2021-05-17;Barranquilla;Mensajeria;1223
2021-05-17;Bogota;Mercancia;90019
2021-05-17;Bogota;Paquetes 1-2;60787
2021-05-17;Bogota;Paqueteo 3-5;17760
2021-05-17;Bogota;Mensajeria;7291
2021-05-17;Bosconia;Mercancia;300
2021-05-17;Bosconia;Paquetes 1-2;298
2021-05-17;Bosconia;Mensajeria;143
2021-05-17;Bosconia;Paqueteo 3-5;108
2021-05-17;Bucaramanga;Paquetes 1-2;3439
2021-05-17;Bucaramanga;Mercancia;3391
2021-05-17;Bucaramanga;Paqueteo 3-5;1079
2021-05-17;Bucaramanga;Mensajeria;874
2021-05-17;Cienaga;Paquetes 1-2;474
2021-05-17;Cienaga;Mercancia;379
2021-05-17;Cienaga;Paqueteo 3-5;142
2021-05-17;Cienaga;Mensajeria;139
2021-05-17;Cucuta;Paqueteo 3-5;3224
2021-05-17;Cucuta;Paquetes 1-2;1979
2021-05-17;Cucuta;Mercancia;1341
2021-05-17;Cucuta;Mensajeria;306
2021-05-17;Ibague;Mercancia;913
