Week;Terminal_origen;recogidas;productoMaestro
2021-06-30;Barranquilla;413;Mercancia
2021-06-30;Barranquilla;315;Paquetes 1-2
2021-06-30;Barranquilla;81;Paqueteo 3-5
2021-06-30;Barranquilla;77;Mensajeria
2021-06-30;Bogota;3509;Paquetes 1-2
2021-06-30;Bogota;2879;Mercancia
2021-06-30;Bogota;586;Paqueteo 3-5
2021-06-30;Bogota;157;Mensajeria
2021-06-30;Bosconia;180;Mercancia
2021-06-30;Bosconia;121;Paquetes 1-2
2021-06-30;Bosconia;38;Paqueteo 3-5
2021-06-30;Bosconia;34;Mensajeria
2021-06-30;Bucaramanga;137;Mercancia
2021-06-30;Bucaramanga;54;Paquetes 1-2
2021-06-30;Bucaramanga;18;Mensajeria
2021-06-30;Bucaramanga;17;Paqueteo 3-5
2021-06-30;Cienaga;160;Mercancia
2021-06-30;Cienaga;109;Paquetes 1-2
2021-06-30;Cienaga;50;Paqueteo 3-5
2021-06-30;Cienaga;24;Mensajeria
2021-06-30;Cucuta;85;Paqueteo 3-5
2021-06-30;Cucuta;46;Mercancia
2021-06-30;Cucuta;30;Paquetes 1-2
2021-06-30;Cucuta;16;Mensajeria
2021-06-30;Ibague;248;Paquetes 1-2
2021-06-30;Ibague;117;Mercancia
2021-06-30;Ibague;44;Mensajeria
2021-06-30;Ibague;38;Paqueteo 3-5
2021-06-30;Manizales;114;Mercancia
2021-06-30;Manizales;33;Paquetes 1-2
2021-06-30;Manizales;19;Mensajeria
2021-06-30;Manizales;10;Paqueteo 3-5
2021-06-30;Medellin;2514;Paquetes 1-2
2021-06-30;Medellin;1718;Mercancia
2021-06-30;Medellin;399;Paqueteo 3-5
2021-06-30;Medellin;213;Mensajeria
2021-06-30;Neiva;55;Paquetes 1-2
2021-06-30;Neiva;52;Mercancia
2021-06-30;Neiva;11;Mensajeria
2021-06-30;Neiva;9;Paqueteo 3-5
2021-06-30;Pasto;65;Paquetes 1-2
2021-06-30;Pasto;59;Mercancia
2021-06-30;Pasto;13;Mensajeria
2021-06-30;Pasto;13;Paqueteo 3-5
2021-06-30;Pereira;454;Mercancia
2021-06-30;Pereira;108;Paquetes 1-2
2021-06-30;Pereira;40;Mensajeria
2021-06-30;Pereira;21;Paqueteo 3-5
2021-06-30;Sin Terminal;1;Paquetes 1-2
2021-06-30;Sincelejo;398;Paquetes 1-2
2021-06-30;Sincelejo;269;Mercancia
